region,environment,basin,sub_basin,year,total_surveyed_area,vegetation,area,veg_percent_of_total_area,y_on_y_veg_area_change,y_on_y_veg_percent_change,standardised_score
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2000,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2001,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2003,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2005,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2006,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2006b,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2007,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2009,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2011,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2013,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2015,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2017,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2019,28.98871,Water,575.6,19.85741,0,0,80
Dry Tropics,Estuarine,Ross,Alligator Creek,remnant_2021,28.98871,Water,575.5,19.85176,-0.2,-0.03,75
Wet Tropics,Estuarine,Barron,Barron,pre_clear,5.95706,Non-Remnant Vegetation,0,0,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_1997,5.95706,Non-Remnant Vegetation,52.2,8.76885,52.2,100,99
Wet Tropics,Estuarine,Barron,Barron,remnant_1999,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2000,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2001,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2003,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2005,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2006,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2006b,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2007,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2009,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2011,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2013,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2015,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2017,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2019,5.95706,Non-Remnant Vegetation,52.2,8.76885,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2021,5.95706,Non-Remnant Vegetation,51.1,8.58039,-1.1,-2.15,20
Wet Tropics,Estuarine,Barron,Barron,pre_clear,5.95706,Remnant Vegetation,367,61.60302,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_1997,5.95706,Remnant Vegetation,316.2,53.07294,-50.8,-13.85,18
Wet Tropics,Estuarine,Barron,Barron,remnant_1999,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2000,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2001,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2003,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2005,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2006,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2006b,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2007,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2009,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2011,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2013,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2015,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2017,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2019,5.95706,Remnant Vegetation,316.2,53.07294,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2021,5.95706,Remnant Vegetation,316,53.05201,-0.1,-0.04,73
Wet Tropics,Estuarine,Barron,Barron,pre_clear,5.95706,Water,228.7,38.39698,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_1997,5.95706,Water,227.3,38.15821,-1.4,-0.62,36
Wet Tropics,Estuarine,Barron,Barron,remnant_1999,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2000,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2001,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2003,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2005,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2006,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2006b,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2007,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2009,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2011,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2013,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2015,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2017,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2019,5.95706,Water,227.3,38.15821,0,0,80
Wet Tropics,Estuarine,Barron,Barron,remnant_2021,5.95706,Water,228.6,38.3676,1.2,0.55,81
Dry Tropics,Estuarine,Black,Black,pre_clear,10.26937,Non-Remnant Vegetation,0,0,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_1997,10.26937,Non-Remnant Vegetation,4.5,0.43758,4.5,100,99
Dry Tropics,Estuarine,Black,Black,remnant_1999,10.26937,Non-Remnant Vegetation,4.5,0.43758,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2000,10.26937,Non-Remnant Vegetation,4.5,0.43758,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2001,10.26937,Non-Remnant Vegetation,4.5,0.43758,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2003,10.26937,Non-Remnant Vegetation,4.5,0.43758,0,0,81
Dry Tropics,Estuarine,Black,Black,remnant_2005,10.26937,Non-Remnant Vegetation,4.5,0.43874,0,0.26,81
Dry Tropics,Estuarine,Black,Black,remnant_2006,10.26937,Non-Remnant Vegetation,4.5,0.4394,0,0.15,81
Dry Tropics,Estuarine,Black,Black,remnant_2006b,10.26937,Non-Remnant Vegetation,4.5,0.4394,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2007,10.26937,Non-Remnant Vegetation,4.7,0.45535,0.2,3.63,81
Dry Tropics,Estuarine,Black,Black,remnant_2009,10.26937,Non-Remnant Vegetation,4.7,0.45535,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2011,10.26937,Non-Remnant Vegetation,4.7,0.45535,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2013,10.26937,Non-Remnant Vegetation,4.7,0.45535,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2015,10.26937,Non-Remnant Vegetation,4.7,0.45571,0,0.08,81
Dry Tropics,Estuarine,Black,Black,remnant_2017,10.26937,Non-Remnant Vegetation,4.7,0.45659,0,0.19,81
Dry Tropics,Estuarine,Black,Black,remnant_2019,10.26937,Non-Remnant Vegetation,4.7,0.45659,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2021,10.26937,Non-Remnant Vegetation,5.5,0.53401,0.8,16.96,84
Dry Tropics,Estuarine,Black,Black,pre_clear,10.26937,Remnant Vegetation,859.8,83.72559,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_1997,10.26937,Remnant Vegetation,855.6,83.3197,-4.2,-0.48,41
Dry Tropics,Estuarine,Black,Black,remnant_1999,10.26937,Remnant Vegetation,855.6,83.3197,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2000,10.26937,Remnant Vegetation,855.6,83.3197,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2001,10.26937,Remnant Vegetation,855.6,83.3197,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2003,10.26937,Remnant Vegetation,855.6,83.3197,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2005,10.26937,Remnant Vegetation,855.6,83.31854,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2006,10.26937,Remnant Vegetation,855.6,83.31787,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2006b,10.26937,Remnant Vegetation,855.6,83.31787,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2007,10.26937,Remnant Vegetation,855.5,83.30193,-0.2,-0.02,77
Dry Tropics,Estuarine,Black,Black,remnant_2009,10.26937,Remnant Vegetation,855.5,83.30193,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2011,10.26937,Remnant Vegetation,855.5,83.30193,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2013,10.26937,Remnant Vegetation,855.5,83.30193,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2015,10.26937,Remnant Vegetation,855.5,83.30157,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2017,10.26937,Remnant Vegetation,855.4,83.30069,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2019,10.26937,Remnant Vegetation,855.4,83.30069,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2021,10.26937,Remnant Vegetation,845.7,82.34766,-9.8,-1.14,20
Dry Tropics,Estuarine,Black,Black,pre_clear,10.26937,Water,167.1,16.27441,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_1997,10.26937,Water,166.8,16.24272,-0.3,-0.19,56
Dry Tropics,Estuarine,Black,Black,remnant_1999,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2000,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2001,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2003,10.26937,Water,166.8,16.24272,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2005,10.26937,Water,166.8,16.24272,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2006,10.26937,Water,166.8,16.24272,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2006b,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2007,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2009,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2011,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2013,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2015,10.26937,Water,166.8,16.24272,0,-0,80
Dry Tropics,Estuarine,Black,Black,remnant_2017,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2019,10.26937,Water,166.8,16.24272,0,0,80
Dry Tropics,Estuarine,Black,Black,remnant_2021,10.26937,Water,175.8,17.11834,9,5.39,82
Dry Tropics,Estuarine,Black,Black River,pre_clear,1.83862,Non-Remnant Vegetation,0,0,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_1997,1.83862,Non-Remnant Vegetation,0.2,0.1175,0.2,100,99
Dry Tropics,Estuarine,Black,Black River,remnant_1999,1.83862,Non-Remnant Vegetation,0.2,0.1175,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2000,1.83862,Non-Remnant Vegetation,0.2,0.1175,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2001,1.83862,Non-Remnant Vegetation,0.2,0.1175,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2003,1.83862,Non-Remnant Vegetation,0.2,0.1175,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2005,1.83862,Non-Remnant Vegetation,0.2,0.1175,0,0,81
Dry Tropics,Estuarine,Black,Black River,remnant_2006,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,3.18,81
Dry Tropics,Estuarine,Black,Black River,remnant_2006b,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2007,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2009,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2011,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2013,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2015,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2017,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2019,1.83862,Non-Remnant Vegetation,0.2,0.12124,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2021,1.83862,Non-Remnant Vegetation,0.2,0.12119,0,-0.04,72
Dry Tropics,Estuarine,Black,Black River,pre_clear,1.83862,Remnant Vegetation,151.2,82.25543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_1997,1.83862,Remnant Vegetation,151.1,82.19707,-0.1,-0.07,66
Dry Tropics,Estuarine,Black,Black River,remnant_1999,1.83862,Remnant Vegetation,151.1,82.19707,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2000,1.83862,Remnant Vegetation,151.1,82.19707,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2001,1.83862,Remnant Vegetation,151.1,82.19707,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2003,1.83862,Remnant Vegetation,151.1,82.19707,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2005,1.83862,Remnant Vegetation,151.1,82.19707,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2006,1.83862,Remnant Vegetation,151.1,82.19334,0,-0,79
Dry Tropics,Estuarine,Black,Black River,remnant_2006b,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2007,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2009,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2011,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2013,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2015,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2017,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2019,1.83862,Remnant Vegetation,151.1,82.19334,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2021,1.83862,Remnant Vegetation,149.3,81.17584,-1.9,-1.24,20
Dry Tropics,Estuarine,Black,Black River,pre_clear,1.83862,Water,32.6,17.74457,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_1997,1.83862,Water,32.5,17.68543,-0.1,-0.33,49
Dry Tropics,Estuarine,Black,Black River,remnant_1999,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2000,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2001,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2003,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2005,1.83862,Water,32.5,17.68543,0,-0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2006,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2006b,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2007,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2009,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2011,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2013,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2015,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2017,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2019,1.83862,Water,32.5,17.68543,0,0,80
Dry Tropics,Estuarine,Black,Black River,remnant_2021,1.83862,Water,34.4,18.70297,1.9,5.75,82
Dry Tropics,Estuarine,Black,Bluewater Creek,pre_clear,3.83757,Non-Remnant Vegetation,0,0,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_1997,3.83757,Non-Remnant Vegetation,2.1,0.55576,2.1,100,99
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_1999,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2000,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2001,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2003,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,81
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2005,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2006,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,-0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2006b,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2007,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,81
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2009,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2011,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2013,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2015,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2017,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2019,3.83757,Non-Remnant Vegetation,2.1,0.55576,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2021,3.83757,Non-Remnant Vegetation,2.8,0.72662,0.7,30.74,86
Dry Tropics,Estuarine,Black,Bluewater Creek,pre_clear,3.83757,Remnant Vegetation,318.4,82.96607,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_1997,3.83757,Remnant Vegetation,316.3,82.41031,-2.1,-0.67,34
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_1999,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2000,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2001,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2003,3.83757,Remnant Vegetation,316.3,82.41031,0,-0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2005,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2006,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2006b,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2007,3.83757,Remnant Vegetation,316.3,82.41031,0,-0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2009,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
Dry Tropics,Estuarine,Black,Bluewater Creek,remnant_2011,3.83757,Remnant Vegetation,316.3,82.41031,0,0,80
